trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
18,17:26:00,17:26:00,9,5,0,0,40.2500
18,17:34:00,17:34:00,71,6,0,0,46.3129
18,17:44:00,17:44:00,28,7,0,0,53.5366
18,18:16:00,18:16:00,1,8,0,0,67.6542
19,17:52:00,17:52:00,10,1,0,0,0.0000
19,18:01:00,18:01:00,2,2,0,0,5.8930
19,18:12:00,18:12:00,39,3,0,0,16.4197
19,18:23:00,18:23:00,55,4,0,0,27.2917
19,18:41:00,18:41:00,9,5,0,0,40.2500
19,18:48:00,18:48:00,71,6,0,0,46.3129
19,18:59:00,18:59:00,28,7,0,0,53.5366
19,19:30:00,19:30:00,1,8,0,0,67.6542
20,24:43:00,24:43:00,10,1,0,0,0.0000
20,24:52:00,24:52:00,2,2,0,0,5.8930
20,25:02:00,25:02:00,39,3,0,0,16.4197
20,25:13:00,25:13:00,55,4,0,0,27.2917
20,25:26:00,25:26:00,9,5,0,0,40.2500
20,25:34:00,25:34:00,71,6,0,0,46.3129
20,25:44:00,25:44:00,28,7,0,0,53.5366
20,26:16:00,26:16:00,1,8,0,0,67.6542
21,06:41:00,06:41:00,10,1,0,0,0.0000
21,06:50:00,06:50:00,2,2,0,0,5.8930
21,07:01:00,07:01:00,39,3,0,0,16.4197
21,07:12:00,07:12:00,55,4,0,0,27.2917
21,07:25:00,07:25:00,9,5,0,0,40.2500
21,07:33:00,07:33:00,71,6,0,0,46.3129
21,07:43:00,07:43:00,28,7,0,0,53.5366
21,08:13:00,08:13:00,1,8,0,0,67.6542
22,07:47:00,07:47:00,10,1,0,0,0.0000
22,07:56:00,07:56:00,2,2,0,0,5.8930
22,08:07:00,08:07:00,39,3,0,0,16.4197
22,08:18:00,08:18:00,55,4,0,0,27.2917
22,08:31:00,08:31:00,9,5,0,0,40.2500
22,08:39:00,08:39:00,71,6,0,0,46.3129
22,08:49:00,08:49:00,28,7,0,0,53.5366
22,09:19:00,09:19:00,1,8,0,0,67.6542
23,08:53:00,08:53:00,10,1,0,0,0.0000
23,09:02:00,09:02:00,2,2,0,0,5.8930
23,09:13:00,09:13:00,39,3,0,0,16.4197
23,09:24:00,09:24:00,55,4,0,0,27.2917
23,09:37:00,09:37:00,9,5,0,0,40.2500
23,09:45:00,09:45:00,71,6,0,0,46.3129
23,09:55:00,09:55:00,28,7,0,0,53.5366
23,10:25:00,10:25:00,1,8,0,0,67.6542
24,10:55:00,10:55:00,10,1,0,0,0.0000
24,11:04:00,11:04:00,2,2,0,0,5.8930
24,11:15:00,11:15:00,39,3,0,0,16.4197
24,11:30:00,11:30:00,55,4,0,0,27.2917
24,11:43:00,11:43:00,9,5,0,0,40.2500
24,11:50:00,11:50:00,71,6,0,0,46.3129
24,12:01:00,12:01:00,28,7,0,0,53.5366
24,12:31:00,12:31:00,1,8,0,0,67.6542
25,12:40:00,12:40:00,10,1,0,0,0.0000
25,12:49:00,12:49:00,2,2,0,0,5.8930
25,12:59:00,12:59:00,39,3,0,0,16.4197
25,13:10:00,13:10:00,55,4,0,0,27.2917
25,13:23:00,13:23:00,9,5,0,0,40.2500
25,13:31:00,13:31:00,71,6,0,0,46.3129
25,13:41:00,13:41:00,28,7,0,0,53.5366
25,14:11:00,14:11:00,1,8,0,0,67.6542
26,14:43:00,14:43:00,10,1,0,0,0.0000
26,14:52:00,14:52:00,2,2,0,0,5.8930
26,15:03:00,15:03:00,39,3,0,0,16.4197
26,15:14:00,15:14:00,55,4,0,0,27.2917
26,15:31:00,15:31:00,9,5,0,0,40.2500
26,15:39:00,15:39:00,71,6,0,0,46.3129
26,15:49:00,15:49:00,28,7,0,0,53.5366
